1: (('white', 'dis_0'), 'forward', ('white', 'dis_0'), -1.0, False)
2: (('white', 'dis_0'), 'forward', ('white', 'dis_1'), -2.0, False)
3: (('white', 'dis_0'), 'forward', ('white', 'dis_2'), -3.0, False)
4: (('white', 'dis_0'), 'forward', ('white', 'dis_3'), -4.0, False)
5: (('white', 'dis_0'), 'forward', ('white', 'dis_4'), -5.0, False)
6: (('white', 'dis_0'), 'forward', ('yellow', 'dis_0'), 19.0, False)
7: (('white', 'dis_0'), 'forward', ('yellow', 'dis_1'), 18.0, False)
8: (('white', 'dis_0'), 'forward', ('yellow', 'dis_2'), 17.0, False)
9: (('white', 'dis_0'), 'forward', ('yellow', 'dis_3'), 16.0, False)
10: (('white', 'dis_0'), 'forward', ('yellow', 'dis_4'), 15.0, False)
11: (('white', 'dis_0'), 'forward', ('blue', 'dis_0'), 29.0, False)
12: (('white', 'dis_0'), 'forward', ('blue', 'dis_1'), 28.0, False)
13: (('white', 'dis_0'), 'forward', ('blue', 'dis_2'), 27.0, False)
14: (('white', 'dis_0'), 'forward', ('blue', 'dis_3'), 26.0, False)
15: (('white', 'dis_0'), 'forward', ('blue', 'dis_4'), 25.0, False)
16: (('white', 'dis_0'), 'forward', ('red', 'dis_0'), 39.0, False)
17: (('white', 'dis_0'), 'forward', ('red', 'dis_1'), 38.0, False)
18: (('white', 'dis_0'), 'forward', ('red', 'dis_2'), 37.0, False)
19: (('white', 'dis_0'), 'forward', ('red', 'dis_3'), 36.0, False)
20: (('white', 'dis_0'), 'forward', ('red', 'dis_4'), 135.0, True)
21: (('white', 'dis_0'), 'forward', ('black', 'dis_0'), 49.0, False)
22: (('white', 'dis_0'), 'forward', ('black', 'dis_1'), 48.0, False)
23: (('white', 'dis_0'), 'forward', ('black', 'dis_2'), 47.0, False)
24: (('white', 'dis_0'), 'forward', ('black', 'dis_3'), 46.0, False)
25: (('white', 'dis_0'), 'forward', ('black', 'dis_4'), 45.0, False)
26: (('white', 'dis_0'), 'forward', ('brown', 'dis_0'), 99.0, False)
27: (('white', 'dis_0'), 'forward', ('brown', 'dis_1'), 98.0, False)
28: (('white', 'dis_0'), 'forward', ('brown', 'dis_2'), 97.0, False)
29: (('white', 'dis_0'), 'forward', ('brown', 'dis_3'), 96.0, False)
30: (('white', 'dis_0'), 'forward', ('brown', 'dis_4'), 95.0, False)
31: (('white', 'dis_0'), 'backward', ('white', 'dis_0'), -1.0, False)
32: (('white', 'dis_0'), 'backward', ('white', 'dis_1'), -2.0, False)
33: (('white', 'dis_0'), 'backward', ('white', 'dis_2'), -3.0, False)
34: (('white', 'dis_0'), 'backward', ('white', 'dis_3'), -4.0, False)
35: (('white', 'dis_0'), 'backward', ('white', 'dis_4'), -5.0, False)
36: (('white', 'dis_0'), 'backward', ('yellow', 'dis_0'), 19.0, False)
37: (('white', 'dis_0'), 'backward', ('yellow', 'dis_1'), 18.0, False)
38: (('white', 'dis_0'), 'backward', ('yellow', 'dis_2'), 17.0, False)
39: (('white', 'dis_0'), 'backward', ('yellow', 'dis_3'), 16.0, False)
40: (('white', 'dis_0'), 'backward', ('yellow', 'dis_4'), 15.0, False)
41: (('white', 'dis_0'), 'backward', ('blue', 'dis_0'), 29.0, False)
42: (('white', 'dis_0'), 'backward', ('blue', 'dis_1'), 28.0, False)
43: (('white', 'dis_0'), 'backward', ('blue', 'dis_2'), 27.0, False)
44: (('white', 'dis_0'), 'backward', ('blue', 'dis_3'), 26.0, False)
45: (('white', 'dis_0'), 'backward', ('blue', 'dis_4'), 25.0, False)
46: (('white', 'dis_0'), 'backward', ('red', 'dis_0'), 39.0, False)
47: (('white', 'dis_0'), 'backward', ('red', 'dis_1'), 38.0, False)
48: (('white', 'dis_0'), 'backward', ('red', 'dis_2'), 37.0, False)
49: (('white', 'dis_0'), 'backward', ('red', 'dis_3'), 36.0, False)
50: (('white', 'dis_0'), 'backward', ('red', 'dis_4'), 135.0, True)
51: (('white', 'dis_0'), 'backward', ('black', 'dis_0'), 49.0, False)
52: (('white', 'dis_0'), 'backward', ('black', 'dis_1'), 48.0, False)
53: (('white', 'dis_0'), 'backward', ('black', 'dis_2'), 47.0, False)
54: (('white', 'dis_0'), 'backward', ('black', 'dis_3'), 46.0, False)
55: (('white', 'dis_0'), 'backward', ('black', 'dis_4'), 45.0, False)
56: (('white', 'dis_0'), 'backward', ('brown', 'dis_0'), 99.0, False)
57: (('white', 'dis_0'), 'backward', ('brown', 'dis_1'), 98.0, False)
58: (('white', 'dis_0'), 'backward', ('brown', 'dis_2'), 97.0, False)
59: (('white', 'dis_0'), 'backward', ('brown', 'dis_3'), 96.0, False)
60: (('white', 'dis_0'), 'backward', ('brown', 'dis_4'), 95.0, False)
61: (('white', 'dis_0'), 'right', ('white', 'dis_0'), -1.0, False)
62: (('white', 'dis_0'), 'right', ('white', 'dis_1'), -2.0, False)
63: (('white', 'dis_0'), 'right', ('white', 'dis_2'), -3.0, False)
64: (('white', 'dis_0'), 'right', ('white', 'dis_3'), -4.0, False)
65: (('white', 'dis_0'), 'right', ('white', 'dis_4'), -5.0, False)
66: (('white', 'dis_0'), 'right', ('yellow', 'dis_0'), 19.0, False)
67: (('white', 'dis_0'), 'right', ('yellow', 'dis_1'), 18.0, False)
68: (('white', 'dis_0'), 'right', ('yellow', 'dis_2'), 17.0, False)
69: (('white', 'dis_0'), 'right', ('yellow', 'dis_3'), 16.0, False)
70: (('white', 'dis_0'), 'right', ('yellow', 'dis_4'), 15.0, False)
71: (('white', 'dis_0'), 'right', ('blue', 'dis_0'), 29.0, False)
72: (('white', 'dis_0'), 'right', ('blue', 'dis_1'), 28.0, False)
73: (('white', 'dis_0'), 'right', ('blue', 'dis_2'), 27.0, False)
74: (('white', 'dis_0'), 'right', ('blue', 'dis_3'), 26.0, False)
75: (('white', 'dis_0'), 'right', ('blue', 'dis_4'), 25.0, False)
76: (('white', 'dis_0'), 'right', ('red', 'dis_0'), 39.0, False)
77: (('white', 'dis_0'), 'right', ('red', 'dis_1'), 38.0, False)
78: (('white', 'dis_0'), 'right', ('red', 'dis_2'), 37.0, False)
79: (('white', 'dis_0'), 'right', ('red', 'dis_3'), 36.0, False)
80: (('white', 'dis_0'), 'right', ('red', 'dis_4'), 135.0, True)
81: (('white', 'dis_0'), 'right', ('black', 'dis_0'), 49.0, False)
82: (('white', 'dis_0'), 'right', ('black', 'dis_1'), 48.0, False)
83: (('white', 'dis_0'), 'right', ('black', 'dis_2'), 47.0, False)
84: (('white', 'dis_0'), 'right', ('black', 'dis_3'), 46.0, False)
85: (('white', 'dis_0'), 'right', ('black', 'dis_4'), 45.0, False)
86: (('white', 'dis_0'), 'right', ('brown', 'dis_0'), 99.0, False)
87: (('white', 'dis_0'), 'right', ('brown', 'dis_1'), 98.0, False)
88: (('white', 'dis_0'), 'right', ('brown', 'dis_2'), 97.0, False)
89: (('white', 'dis_0'), 'right', ('brown', 'dis_3'), 96.0, False)
90: (('white', 'dis_0'), 'right', ('brown', 'dis_4'), 95.0, False)
91: (('white', 'dis_0'), 'left', ('white', 'dis_0'), -1.0, False)
92: (('white', 'dis_0'), 'left', ('white', 'dis_1'), -2.0, False)
93: (('white', 'dis_0'), 'left', ('white', 'dis_2'), -3.0, False)
94: (('white', 'dis_0'), 'left', ('white', 'dis_3'), -4.0, False)
95: (('white', 'dis_0'), 'left', ('white', 'dis_4'), -5.0, False)
96: (('white', 'dis_0'), 'left', ('yellow', 'dis_0'), 19.0, False)
97: (('white', 'dis_0'), 'left', ('yellow', 'dis_1'), 18.0, False)
98: (('white', 'dis_0'), 'left', ('yellow', 'dis_2'), 17.0, False)
99: (('white', 'dis_0'), 'left', ('yellow', 'dis_3'), 16.0, False)
100: (('white', 'dis_0'), 'left', ('yellow', 'dis_4'), 15.0, False)
101: (('white', 'dis_0'), 'left', ('blue', 'dis_0'), 29.0, False)
